iter	Passed	Remaining
541	3270	2763
542	3275	2757
543	3281	2750
544	3287	2744
545	3292	2738
546	3299	2732
547	3304	2725
548	3309	2719
549	3316	2713
550	3321	2706
551	3328	2701
552	3333	2694
553	3339	2688
554	3345	2682
555	3351	2676
556	3356	2669
557	3363	2664
558	3369	2657
559	3375	2651
560	3380	2645
561	3386	2639
562	3392	2633
563	3400	2628
564	3407	2623
565	3413	2617
566	3418	2610
567	3424	2604
568	3430	2598
569	3436	2592
570	3443	2586
571	3448	2580
572	3454	2574
573	3460	2568
574	3466	2561
575	3471	2555
576	3477	2549
577	3482	2542
578	3487	2536
579	3493	2529
580	3498	2523
581	3505	2517
582	3510	2511
583	3516	2504
584	3522	2498
585	3529	2493
586	3534	2486
587	3539	2480
588	3546	2474
589	3551	2467
590	3557	2462
591	3563	2455
592	3568	2449
593	3574	2443
594	3580	2437
595	3587	2431
596	3592	2425
597	3599	2419
598	3605	2413
599	3611	2407
600	3617	2401
601	3624	2396
602	3629	2389
603	3635	2383
604	3641	2377
605	3648	2371
606	3655	2366
607	3661	2360
608	3666	2354
609	3671	2347
610	3677	2341
611	3682	2334
612	3690	2330
613	3697	2324
614	3702	2318
615	3708	2312
616	3714	2305
617	3720	2300
618	3726	2293
619	3731	2287
620	3738	2281
621	3744	2275
622	3749	2268
623	3755	2262
624	3760	2256
625	3767	2250
626	3772	2244
627	3778	2238
628	3784	2231
629	3790	2226
630	3797	2220
631	3803	2214
632	3809	2208
633	3815	2202
634	3820	2196
635	3826	2189
636	3832	2184
637	3838	2177
638	3843	2171
639	3848	2164
640	3854	2159
641	3860	2152
642	3866	2146
643	3871	2139
644	3876	2133
645	3881	2127
646	3888	2121
647	3894	2115
648	3900	2109
649	3906	2103
650	3912	2097
651	3919	2092
652	3925	2086
653	3932	2080
654	3938	2074
655	3943	2068
656	3949	2061
657	3955	2055
658	3960	2049
659	3965	2043
660	3971	2036
661	3977	2030
662	3982	2024
663	3988	2018
664	3993	2011
665	3999	2005
666	4004	1999
667	4010	1993
668	4016	1987
669	4022	1981
670	4028	1974
671	4033	1968
672	4039	1962
673	4045	1956
674	4050	1950
675	4056	1944
676	4062	1938
677	4068	1932
678	4074	1926
679	4080	1920
680	4085	1913
681	4091	1907
682	4096	1901
683	4102	1895
684	4108	1889
685	4113	1882
686	4119	1876
687	4124	1870
688	4130	1864
689	4136	1858
690	4141	1852
691	4148	1846
692	4154	1840
693	4159	1834
694	4165	1828
695	4171	1822
696	4177	1815
697	4182	1809
698	4188	1803
699	4194	1797
700	4200	1791
701	4207	1786
702	4213	1779
703	4218	1773
704	4224	1767
705	4229	1761
706	4236	1755
707	4242	1749
708	4248	1743
709	4253	1737
710	4260	1731
711	4266	1725
712	4272	1719
713	4277	1713
714	4284	1707
715	4289	1701
716	4295	1695
717	4302	1689
718	4307	1683
719	4313	1677
720	4319	1671
721	4325	1665
722	4330	1659
723	4337	1653
724	4342	1647
725	4348	1641
726	4354	1635
727	4360	1629
728	4365	1622
729	4371	1616
730	4377	1610
731	4383	1604
732	4388	1598
733	4394	1592
734	4401	1586
735	4406	1580
736	4412	1574
737	4418	1568
738	4424	1562
739	4431	1557
740	4437	1550
741	4443	1544
742	4448	1538
743	4455	1532
744	4461	1526
745	4466	1520
746	4473	1514
747	4478	1508
748	4484	1502
749	4490	1496
750	4496	1490
751	4501	1484
752	4508	1478
753	4514	1472
754	4521	1467
755	4527	1461
756	4532	1455
757	4539	1449
758	4545	1443
759	4551	1437
760	4557	1431
761	4562	1424
762	4568	1419
763	4573	1412
764	4579	1406
765	4584	1400
766	4590	1394
767	4595	1388
768	4601	1382
769	4606	1375
770	4612	1370
771	4617	1363
772	4623	1357
773	4628	1351
774	4634	1345
775	4640	1339
776	4645	1333
777	4651	1327
778	4656	1321
779	4661	1314
780	4668	1308
781	4673	1302
782	4679	1296
783	4684	1290
784	4690	1284
785	4697	1279
786	4703	1272
787	4709	1266
788	4715	1261
789	4722	1255
790	4728	1249
791	4734	1243
792	4740	1237
793	4745	1231
794	4751	1225
795	4757	1219
796	4763	1213
797	4769	1207
798	4775	1201
799	4781	1195
800	4787	1189
801	4794	1183
802	4800	1177
803	4805	1171
804	4812	1165
805	4818	1159
806	4824	1153
807	4830	1147
808	4836	1141
809	4841	1135
810	4847	1129
811	4852	1123
812	4858	1117
813	4865	1111
814	4871	1105
815	4879	1100
816	4884	1094
817	4890	1088
818	4896	1082
819	4901	1075
820	4907	1069
821	4913	1064
822	4919	1057
823	4924	1051
824	4931	1046
825	4936	1039
826	4942	1033
827	4948	1027
828	4953	1021
829	4960	1016
830	4965	1009
831	4972	1003
832	4977	997
833	4983	991
834	4989	986
835	4995	979
836	5001	973
837	5006	967
838	5012	961
839	5018	955
840	5024	949
841	5031	944
842	5037	938
843	5043	932
844	5049	926
845	5055	920
846	5060	914
847	5066	908
848	5071	902
849	5077	896
850	5083	890
851	5088	883
852	5094	877
853	5100	871
854	5105	865
855	5111	859
856	5117	853
857	5122	847
858	5128	841
859	5133	835
860	5139	829
861	5144	823
862	5151	817
863	5156	811
864	5162	805
865	5167	799
866	5173	793
867	5178	787
868	5184	781
869	5189	775
870	5195	769
871	5201	763
872	5207	757
873	5212	751
874	5218	745
875	5223	739
876	5229	733
877	5235	727
878	5241	721
879	5246	715
880	5252	709
881	5257	703
882	5264	697
883	5270	691
884	5275	685
885	5282	679
886	5287	673
887	5294	667
888	5300	661
889	5306	655
890	5311	649
891	5317	643
892	5322	637
893	5329	631
894	5334	625
895	5340	619
896	5346	613
897	5351	607
898	5357	601
899	5363	595
900	5369	589
901	5375	584
902	5381	578
903	5387	572
904	5393	566
905	5398	560
906	5404	554
907	5410	548
908	5415	542
909	5422	536
910	5428	530
911	5435	524
912	5441	518
913	5447	512
914	5452	506
915	5458	500
916	5464	494
917	5470	488
918	5475	482
919	5482	476
920	5488	470
921	5494	464
922	5500	458
923	5505	452
924	5511	446
925	5517	440
926	5522	434
927	5528	428
928	5533	422
929	5539	416
930	5544	410
931	5550	404
932	5556	398
933	5561	393
934	5568	387
935	5574	381
936	5579	375
937	5585	369
938	5591	363
939	5597	357
940	5603	351
941	5609	345
942	5615	339
943	5620	333
944	5626	327
945	5631	321
946	5637	315
947	5643	309
948	5649	303
949	5654	297
950	5660	291
951	5666	285
952	5672	279
953	5678	273
954	5684	267
955	5690	261
956	5696	255
957	5702	250
958	5708	244
959	5714	238
960	5720	232
961	5726	226
962	5732	220
963	5738	214
964	5743	208
965	5749	202
966	5755	196
967	5761	190
968	5767	184
969	5773	178
970	5778	172
971	5784	166
972	5791	160
973	5797	154
974	5803	148
975	5809	142
976	5814	136
977	5820	130
978	5825	124
979	5831	119
980	5837	113
981	5842	107
982	5847	101
983	5853	95
984	5859	89
985	5864	83
986	5871	77
987	5876	71
988	5882	65
989	5888	59
990	5895	53
991	5901	47
992	5907	41
993	5912	35
994	5918	29
995	5924	23
996	5929	17
997	5934	11
998	5940	5
999	5945	0
